Setup,Type,Generation,Average,Std
Setup_20250920_1627,Training,0,0.5011591954244282,0.001994392369424853
Setup_20250920_1627,Training,1,0.4595131266345614,0.0039416363709845765
Setup_20250920_1627,Training,2,0.42374582363636737,0.00535255781886764
Setup_20250920_1627,Training,3,0.41154256879071693,0.00557027416788863
Setup_20250920_1627,Training,4,0.4075662612659941,0.005486289416929989
Setup_20250920_1627,Training,5,0.40454762700517194,0.007743104234536503
Setup_20250920_1627,Training,6,0.4013392868438057,0.007813073040857342
Setup_20250920_1627,Training,7,0.4011653354573766,0.0075367023887024775
Setup_20250920_1627,Training,8,0.4013115499347275,0.00922166816875693
Setup_20250920_1627,Training,9,0.4015340895634758,0.009407471792281491
Setup_20250920_1627,Training,10,0.4020476243092989,0.00930904847845371
Setup_20250920_1627,Training,11,0.4017008820503776,0.008738098581549981
Setup_20250920_1627,Training,12,0.40098427138302184,0.009149999174356998
Setup_20250920_1627,Training,13,0.40032857321562293,0.009991583055871328
Setup_20250920_1627,Training,14,0.40042566537426494,0.009978830740540059
Setup_20250920_1627,Training,15,0.40046983807928793,0.01067353176100429
Setup_20250920_1627,Training,16,0.4003176321325637,0.009917666972341652
Setup_20250920_1627,Training,17,0.4006173364884588,0.009097499315422019
Setup_20250920_1627,Training,18,0.3997928978641291,0.009198351268412472
Setup_20250920_1627,Training,19,0.3997216115745494,0.009990481710730883
Setup_20250920_1627,Training,20,0.39915177491188314,0.009069218411501687
Setup_20250920_1627,Training,21,0.3993951762131912,0.009985086539057962
Setup_20250920_1627,Training,22,0.398999685345098,0.009840672196449813
Setup_20250920_1627,Training,23,0.39907354162075453,0.010643527626999483
Setup_20250920_1627,Training,24,0.39884656397890816,0.009850265245856015
Setup_20250920_1627,Training,25,0.3990375902681967,0.009715044530771324
Setup_20250920_1627,Training,26,0.3980835577467146,0.009111088443650965
Setup_20250920_1627,Training,27,0.3984354933323659,0.008447112529576015
Setup_20250920_1627,Training,28,0.39786011843064234,0.008445630545993727
Setup_20250920_1627,Training,29,0.39814401484895634,0.008142108508911379
Setup_20250920_1627,Training,30,0.39789691727798276,0.007990298107083103
Setup_20250920_1627,Training,31,0.39850217675687394,0.009450760133589269
Setup_20250920_1627,Training,32,0.39891624437168716,0.008999117204613103
Setup_20250920_1627,Training,33,0.3994282836748693,0.010002238394533878
Setup_20250920_1627,Training,34,0.3990957763158796,0.009705374756068155
Setup_20250920_1627,Training,35,0.39950599861264835,0.009951879160877235
Setup_20250920_1627,Training,36,0.3998443143250714,0.010395558416415152
Setup_20250920_1627,Training,37,0.4003058203138898,0.011120429724106382
Setup_20250920_1627,Training,38,0.40049593701863745,0.010851404911111565
Setup_20250920_1627,Training,39,0.4004016601845136,0.009797126014558401
Setup_20250920_1627,Training,40,0.400590927656823,0.009780146545460456
Setup_20250920_1627,Training,41,0.40163464464287973,0.01072961019014994
Setup_20250920_1627,Training,42,0.4011572135393244,0.010856502874365364
Setup_20250920_1627,Training,43,0.40121377310622347,0.011037679783291171
Setup_20250920_1627,Training,44,0.40130057259602353,0.010898272979738123
Setup_20250920_1627,Training,45,0.4017098808048898,0.010490650005825304
Setup_20250920_1627,Training,46,0.40204713233078554,0.011660219549371603
Setup_20250920_1627,Training,47,0.40202424353778127,0.011140605628891808
Setup_20250920_1627,Training,48,0.40248515581333416,0.010935943528985439
Setup_20250920_1627,Training,49,0.40201503792895704,0.010957976234337311
Setup_20250920_1627,Training,50,0.4020893060509526,0.011097895188288673
Setup_20250920_1627,Test,0,,
Setup_20250920_1627,Test,1,0.38967254408060453,0.02852137398498419
Setup_20250920_1627,Test,2,0.3891687657430731,0.027080526318841544
Setup_20250920_1627,Test,3,0.3889168765743073,0.02603613009455426
Setup_20250920_1627,Test,4,0.38967254408060453,0.02486058047792775
Setup_20250920_1627,Test,5,0.3892527287993283,0.023662690114268397
Setup_20250920_1627,Test,6,0.3921074727120067,0.026300681879347382
Setup_20250920_1627,Test,7,0.3897565071368598,0.026901742259614822
Setup_20250920_1627,Test,8,0.3884970612930311,0.02500083714911799
Setup_20250920_1627,Test,9,0.3894206549118388,0.024556287369176703
Setup_20250920_1627,Test,10,0.38992443324937026,0.023855557773909495
Setup_20250920_1627,Test,11,0.3900083963056255,0.02406460876759634
Setup_20250920_1627,Test,12,0.390512174643157,0.025134141394565733
Setup_20250920_1627,Test,13,0.39093198992443323,0.025200668962936094
Setup_20250920_1627,Test,14,0.390512174643157,0.025092033102108446
Setup_20250920_1627,Test,15,0.39076406381192275,0.024297695714775375
Setup_20250920_1627,Test,16,0.3910159529806885,0.023999485124462438
Setup_20250920_1627,Test,17,0.38967254408060453,0.02363064107379474
Setup_20250920_1627,Test,18,0.38992443324937026,0.02352524372272115
Setup_20250920_1627,Test,19,0.38992443324937026,0.023890993856683876
Setup_20250920_1627,Test,20,0.39009235936188075,0.02322060521790233
Setup_20250920_1627,Test,21,0.3897565071368598,0.023458021743872345
Setup_20250920_1627,Test,22,0.38992443324937026,0.023908692202585936
Setup_20250920_1627,Test,23,0.38992443324937026,0.023837819978480564
Setup_20250920_1627,Test,24,0.38933669185558356,0.024651559036094298
Setup_20250920_1627,Test,25,0.38866498740554156,0.024886088980921692
Setup_20250920_1627,Test,26,0.38883291351805205,0.02464126169016738
Setup_20250920_1627,Test,27,0.38866498740554156,0.02481800804365261
Setup_20250920_1627,Test,28,0.3890008396305626,0.02422752496958408
Setup_20250920_1627,Test,29,0.38841309823677583,0.023784527222393704
Setup_20250920_1627,Test,30,0.38740554156171286,0.02406739165840314
Setup_20250920_1627,Test,31,0.38774139378673383,0.02420350697744494
Setup_20250920_1627,Test,32,0.3878253568429891,0.024494917574290266
Setup_20250920_1627,Test,33,0.3876574307304786,0.024485130200262467
Setup_20250920_1627,Test,34,0.38883291351805205,0.024598309682549203
Setup_20250920_1627,Test,35,0.38992443324937026,0.02593683906137071
Setup_20250920_1627,Test,36,0.3891687657430731,0.02579251611971186
Setup_20250920_1627,Test,37,0.38900083963056253,0.025767357752387095
Setup_20250920_1627,Test,38,0.3868178001679261,0.02561093437283342
Setup_20250920_1627,Test,39,0.3866498740554156,0.026102249327700514
Setup_20250920_1627,Test,40,0.3872376154492024,0.02582679589659434
Setup_20250920_1627,Test,41,0.38715365239294713,0.02640354445016657
Setup_20250920_1627,Test,42,0.3879093198992443,0.026185168393140248
Setup_20250920_1627,Test,43,0.38757346767422335,0.02553691875762496
Setup_20250920_1627,Test,44,0.3870696893366919,0.025275529790703053
Setup_20250920_1627,Test,45,0.38698572628043665,0.024854908366495607
Setup_20250920_1627,Test,46,0.38757346767422335,0.02539573643195844
Setup_20250920_1627,Test,47,0.3883291351805206,0.025844396100810133
Setup_20250920_1627,Test,48,0.3883291351805206,0.025844396100810133
Setup_20250920_1627,Test,49,0.38866498740554156,0.02599995721313318
Setup_20250920_1627,Test,50,0.38824517212426535,0.02580057801057417
Setup_20250920_0507,Training,0,0.4956434782608696,0.002881666713807883
Setup_20250920_0507,Training,1,0.4210483271756224,0.009833982060761472
Setup_20250920_0507,Training,2,0.34580859278683074,0.012652874268318225
Setup_20250920_0507,Training,3,0.31881659693092773,0.026686243121667487
Setup_20250920_0507,Training,4,0.3156340479860433,0.03490145496565044
Setup_20250920_0507,Training,5,0.31588648746880116,0.03303576479343427
Setup_20250920_0507,Training,6,0.3187560895166936,0.031863060545722105
Setup_20250920_0507,Training,7,0.3170505741821674,0.03298178493027534
Setup_20250920_0507,Training,8,0.31250497643675756,0.035322085390034515
Setup_20250920_0507,Training,9,0.30921342440326743,0.033238035456061965
Setup_20250920_0507,Training,10,0.3052935786918564,0.033674678408083955
Setup_20250920_0507,Training,11,0.2999522499613279,0.035405646998376755
Setup_20250920_0507,Training,12,0.29707897362751706,0.033141649421893286
Setup_20250920_0507,Training,13,0.2955495916356175,0.03686423984222587
Setup_20250920_0507,Training,14,0.29293665077194386,0.03817138635501548
Setup_20250920_0507,Training,15,0.287657222608735,0.03791473015332885
Setup_20250920_0507,Training,16,0.2810729579837167,0.0362108256996059
Setup_20250920_0507,Training,17,0.2766842440858243,0.03766236311169847
Setup_20250920_0507,Training,18,0.27178134137349136,0.033669300321875845
Setup_20250920_0507,Training,19,0.26974124432056656,0.034166974338999956
Setup_20250920_0507,Training,20,0.2695933350717221,0.037502062751496375
Setup_20250920_0507,Training,21,0.2659825482784094,0.03650850883719938
Setup_20250920_0507,Training,22,0.2655141942856374,0.034338804800383364
Setup_20250920_0507,Training,23,0.26459248889970677,0.03679585373658643
Setup_20250920_0507,Training,24,0.2653956280544304,0.03798545743036398
Setup_20250920_0507,Training,25,0.2644305830677917,0.03772256641841252
Setup_20250920_0507,Training,26,0.262549242452638,0.03704952198271945
Setup_20250920_0507,Training,27,0.26158133341099005,0.037478418368332454
Setup_20250920_0507,Training,28,0.2594936611780038,0.0368965286622884
Setup_20250920_0507,Training,29,0.2575400241078728,0.03692556603742704
Setup_20250920_0507,Training,30,0.25627609334563745,0.03736432657245865
Setup_20250920_0507,Training,31,0.25510228569122934,0.03520015958223983
Setup_20250920_0507,Training,32,0.25387854905722135,0.03586693791778302
Setup_20250920_0507,Training,33,0.25598456576176426,0.03524160974572894
Setup_20250920_0507,Training,34,0.2527465641545572,0.032101223942777694
Setup_20250920_0507,Training,35,0.2531602545736812,0.03241122826218506
Setup_20250920_0507,Training,36,0.25233878743789945,0.03278963274459978
Setup_20250920_0507,Training,37,0.2514148684901824,0.03346564175870565
Setup_20250920_0507,Training,38,0.2500052287134359,0.03203162654116968
Setup_20250920_0507,Training,39,0.2520379415275565,0.032755669315062665
Setup_20250920_0507,Training,40,0.25219672507075214,0.03424505586638996
Setup_20250920_0507,Training,41,0.25042138256254226,0.034175646806557644
Setup_20250920_0507,Training,42,0.25141967537288945,0.03480018382659113
Setup_20250920_0507,Training,43,0.2522374083418341,0.03323477321980272
Setup_20250920_0507,Training,44,0.2519563630492542,0.03428395889911046
Setup_20250920_0507,Training,45,0.25239866355961327,0.03521513298378147
Setup_20250920_0507,Training,46,0.2521641766279316,0.03520230224086873
Setup_20250920_0507,Training,47,0.25427462260617356,0.035034681340829994
Setup_20250920_0507,Training,48,0.2533264985743366,0.033658332010436505
Setup_20250920_0507,Training,49,0.2520116348594676,0.03283644467436416
Setup_20250920_0507,Training,50,0.253867200318131,0.03303904305387916
Setup_20250920_0507,Test,0,,
Setup_20250920_0507,Test,1,0.26370370370370366,0.037617670890650726
Setup_20250920_0507,Test,2,0.26185185185185184,0.036591767871947824
Setup_20250920_0507,Test,3,0.25851851851851854,0.03826841882396886
Setup_20250920_0507,Test,4,0.2544444444444444,0.03905783408347397
Setup_20250920_0507,Test,5,0.25037037037037035,0.03229663608383947
Setup_20250920_0507,Test,6,0.2525925925925926,0.034057967207622664
Setup_20250920_0507,Test,7,0.2544444444444444,0.033252989593003934
Setup_20250920_0507,Test,8,0.2533333333333333,0.03518323581344568
Setup_20250920_0507,Test,9,0.24296296296296296,0.04551790072811027
Setup_20250920_0507,Test,10,0.24407407407407405,0.04948153692611664
Setup_20250920_0507,Test,11,0.24333333333333332,0.047170996180475516
Setup_20250920_0507,Test,12,0.2414814814814815,0.04643091539026613
Setup_20250920_0507,Test,13,0.23592592592592593,0.04711279987655695
Setup_20250920_0507,Test,14,0.23666666666666666,0.03839903119491192
Setup_20250920_0507,Test,15,0.2325925925925926,0.040157440499051254
Setup_20250920_0507,Test,16,0.23296296296296296,0.03886065994849255
Setup_20250920_0507,Test,17,0.2325925925925926,0.03739823870033877
Setup_20250920_0507,Test,18,0.22999999999999998,0.03818408950542129
Setup_20250920_0507,Test,19,0.22999999999999998,0.03785938897200182
Setup_20250920_0507,Test,20,0.2303703703703704,0.0369554657281968
Setup_20250920_0507,Test,21,0.22925925925925925,0.03530972112656322
Setup_20250920_0507,Test,22,0.22703703703703704,0.03769962868177197
Setup_20250920_0507,Test,23,0.2274074074074074,0.03846149625406568
Setup_20250920_0507,Test,24,0.22518518518518518,0.04186332192872531
Setup_20250920_0507,Test,25,0.22777777777777777,0.04300923434197739
Setup_20250920_0507,Test,26,0.23074074074074075,0.04487599130198771
Setup_20250920_0507,Test,27,0.22999999999999998,0.044735160309327546
Setup_20250920_0507,Test,28,0.2296296296296296,0.043065012899995946
Setup_20250920_0507,Test,29,0.22888888888888886,0.04202683837779047
Setup_20250920_0507,Test,30,0.22814814814814813,0.04423407000543293
Setup_20250920_0507,Test,31,0.22555555555555556,0.04427281676747876
Setup_20250920_0507,Test,32,0.22555555555555556,0.04361730316975671
Setup_20250920_0507,Test,33,0.22333333333333333,0.042970944341649844
Setup_20250920_0507,Test,34,0.2262962962962963,0.041720541301971295
Setup_20250920_0507,Test,35,0.22777777777777777,0.038570122128243955
Setup_20250920_0507,Test,36,0.22888888888888886,0.039084165802290134
Setup_20250920_0507,Test,37,0.22666666666666666,0.04073400617738525
Setup_20250920_0507,Test,38,0.22666666666666666,0.04073400617738525
Setup_20250920_0507,Test,39,0.22666666666666666,0.039503086299180395
Setup_20250920_0507,Test,40,0.22666666666666666,0.039503086299180395
Setup_20250920_0507,Test,41,0.22703703703703704,0.03919806551594152
Setup_20250920_0507,Test,42,0.22518518518518518,0.04215719488928058
Setup_20250920_0507,Test,43,0.2262962962962963,0.04122440179256707
Setup_20250920_0507,Test,44,0.22555555555555556,0.04168764903786884
Setup_20250920_0507,Test,45,0.22555555555555556,0.04168764903786884
Setup_20250920_0507,Test,46,0.22444444444444445,0.04249425039781768
Setup_20250920_0507,Test,47,0.2237037037037037,0.04319858759058765
Setup_20250920_0507,Test,48,0.2237037037037037,0.04319858759058765
Setup_20250920_0507,Test,49,0.22333333333333333,0.042970944341649844
Setup_20250920_0507,Test,50,0.22296296296296297,0.042931022609902524
